start,horizon,thr,n,diff,win
1990,6,40,21,0.2881,0.7619
1990,6,45,16,0.3065,0.7500
1990,6,50,9,0.4469,0.8889
1990,6,55,7,0.5189,1.0000
1990,12,40,15,0.7252,1.0000
1990,12,45,10,0.7917,1.0000
1990,12,50,3,1.4086,1.0000
1990,12,55,2,1.8310,1.0000
1990,24,40,9,1.8932,1.0000
1990,24,45,5,2.3554,1.0000
1990,24,50,2,3.5839,1.0000
1990,24,55,2,3.5839,1.0000
2000,6,40,21,0.2874,0.7619
2000,6,45,16,0.3058,0.7500
2000,6,50,9,0.4461,0.8889
2000,6,55,7,0.5182,1.0000
2000,12,40,15,0.7176,1.0000
2000,12,45,10,0.7841,1.0000
2000,12,50,3,1.4010,1.0000
2000,12,55,2,1.8234,1.0000
2000,24,40,9,1.8726,1.0000
2000,24,45,5,2.3347,1.0000
2000,24,50,2,3.5632,1.0000
2000,24,55,2,3.5632,1.0000
2010,6,40,21,0.3077,0.7619
2010,6,45,16,0.3261,0.7500
2010,6,50,9,0.4664,0.8889
2010,6,55,7,0.5385,1.0000
2010,12,40,15,0.7575,1.0000
2010,12,45,10,0.8240,1.0000
2010,12,50,3,1.4410,1.0000
2010,12,55,2,1.8634,1.0000
2010,24,40,9,1.9841,1.0000
2010,24,45,5,2.4462,1.0000
2010,24,50,2,3.6747,1.0000
2010,24,55,2,3.6747,1.0000
2015,6,40,21,0.2864,0.7619
2015,6,45,16,0.3048,0.7500
2015,6,50,9,0.4452,0.8889
2015,6,55,7,0.5172,1.0000
2015,12,40,15,0.7109,1.0000
2015,12,45,10,0.7774,1.0000
2015,12,50,3,1.3944,1.0000
2015,12,55,2,1.8168,1.0000
2015,24,40,9,1.8526,1.0000
2015,24,45,5,2.3147,1.0000
2015,24,50,2,3.5432,1.0000
2015,24,55,2,3.5432,1.0000
2020,6,40,21,0.2312,0.7619
2020,6,45,16,0.2495,0.7500
2020,6,50,9,0.3899,0.8889
2020,6,55,7,0.4620,1.0000
2020,12,40,15,0.6172,1.0000
2020,12,45,10,0.6838,1.0000
2020,12,50,3,1.3007,1.0000
2020,12,55,2,1.7231,1.0000
2020,24,40,9,1.7426,1.0000
2020,24,45,5,2.2047,1.0000
2020,24,50,2,3.4333,1.0000
2020,24,55,2,3.4333,1.0000
