date,credit
1990-01-31,1.7386
1990-02-28,1.6711
1990-03-31,1.6182
1990-04-30,1.5160
1990-05-31,1.6532
1990-06-30,1.7405
1990-07-31,1.7243
1990-08-31,1.6596
1990-09-30,1.7426
1990-10-31,2.0232
1990-11-30,2.2270
1990-12-31,2.3595
1991-01-31,2.3586
1991-02-28,2.2137
1991-03-31,1.9800
1991-04-30,1.9032
1991-05-31,1.7959
1991-06-30,1.6780
1991-07-31,1.6218
1991-08-31,1.7455
1991-09-30,1.8645
1991-10-31,1.9641
1991-11-30,2.0368
1991-12-31,2.1705
1992-01-31,2.0976
1992-02-29,1.8884
1992-03-31,1.7064
1992-04-30,1.7286
1992-05-31,1.7375
1992-06-30,1.7864
1992-07-31,1.9923
1992-08-31,2.0671
1992-09-30,2.2014
1992-10-31,2.2510
1992-11-30,2.0847
1992-12-31,2.0405
1993-01-31,2.0663
1993-02-28,2.1347
1993-03-31,2.1704
1993-04-30,2.1710
1993-05-31,2.1785
1993-06-30,2.1068
1993-07-31,2.1281
1993-08-31,1.9173
1993-09-30,1.9819
1993-10-31,1.9800
1993-11-30,1.9365
1993-12-31,1.9109
1994-01-31,1.8980
1994-02-28,1.7905
1994-03-31,1.6465
1994-04-30,1.5505
1994-05-31,1.4405
1994-06-30,1.5464
1994-07-31,1.5055
1994-08-31,1.5035
1994-09-30,1.5210
1994-10-31,1.4605
1994-11-30,1.3575
1994-12-31,1.2895
1995-01-31,1.3025
1995-02-28,1.3805
1995-03-31,1.4965
1995-04-30,1.5363
1995-05-31,1.5705
1995-06-30,1.7323
1995-07-31,1.7605
1995-08-31,1.7048
1995-09-30,1.7370
1995-10-31,1.7052
1995-11-30,1.7543
1995-12-31,1.7790
1996-01-31,1.8095
1996-02-29,1.8210
1996-03-31,1.7676
1996-04-30,1.6845
1996-05-31,1.5609
1996-06-30,1.4880
1996-07-31,1.4877
1996-08-31,1.5400
1996-09-30,1.5130
1996-10-31,1.5355
1996-11-30,1.5837
