date,silver
2000-08-31,4.9665
2000-09-30,4.9161
2000-10-31,4.8411
2000-11-30,4.6903
2000-12-31,4.6314
2001-01-31,4.6742
2001-02-28,4.5419
2001-03-31,4.3747
2001-04-30,4.3603
2001-05-31,4.4186
2001-06-30,4.3479
2001-07-31,4.2284
2001-08-31,4.1819
2001-09-30,4.3984
2001-10-31,4.3879
2001-11-30,4.0915
2001-12-31,4.3327
2002-01-31,4.4602
2002-02-28,4.4201
2002-03-31,4.5307
2002-04-30,4.5700
2002-05-31,4.7190
2002-06-30,4.8951
2002-07-31,4.9142
2002-08-31,4.5230
2002-09-30,4.5578
2002-10-31,4.3930
2002-11-30,4.5148
2002-12-31,4.6478
2003-01-31,4.8303
2003-02-28,4.6418
2003-03-31,4.5125
2003-04-30,4.5134
2003-05-31,4.7364
2003-06-30,4.5304
2003-07-31,4.8435
2003-08-31,5.0040
2003-09-30,5.1850
2003-10-31,5.0060
2003-11-30,5.1891
2003-12-31,5.6562
2004-01-31,6.3607
2004-02-29,6.4717
2004-03-31,7.2944
2004-04-30,7.0577
2004-05-31,5.8513
2004-06-30,5.8513
2004-07-31,6.3724
2004-08-31,6.6943
2004-09-30,6.4042
2004-10-31,7.1488
2004-11-30,7.5011
2004-12-31,7.0989
2005-01-31,6.6299
2005-02-28,7.0675
2005-03-31,7.2733
2005-04-30,7.1370
2005-05-31,7.0454
2005-06-30,7.3213
2005-07-31,7.0149
2005-08-31,7.0067
2005-09-30,7.1763
2005-10-31,7.6805
2005-11-30,7.8685
2005-12-31,8.6341
2006-01-31,9.1794
2006-02-28,9.5177
2006-03-31,10.3981
2006-04-30,12.6250
2006-05-31,13.3421
2006-06-30,10.6945
2006-07-31,11.1460
2006-08-31,12.2167
2006-09-30,11.6272
2006-10-31,11.5870
2006-11-30,12.9644
2006-12-31,13.2250
2007-01-31,12.8278
2007-02-28,13.9505
2007-03-31,13.1050
2007-04-30,13.7360
2007-05-31,13.1526
2007-06-30,13.0863
2007-07-31,12.9291
2007-08-31,12.2740
2007-09-30,12.9091
2007-10-31,13.6958
2007-11-30,14.6627
2007-12-31,14.3577
2008-01-31,16.0521
2008-02-29,17.6561
2008-03-31,19.1579
2008-04-30,17.4783
2008-05-31,17.0120
2008-06-30,17.0117
2008-07-31,18.0673
2008-08-31,14.4778
2008-09-30,12.2242
2008-10-31,10.3380
2008-11-30,9.7828
2008-12-31,10.3346
2009-01-31,11.3859
2009-02-28,13.4066
2009-03-31,13.0881
2009-04-30,12.5025
2009-05-31,14.1104
2009-06-30,14.6248
2009-07-31,13.3750
2009-08-31,14.4011
2009-09-30,16.5024
2009-10-31,17.2107
2009-11-30,17.8632
2009-12-31,17.6095
2010-01-31,17.7130
2010-02-28,15.8999
2010-03-31,17.1203
2010-04-30,18.1524
2010-05-31,18.4097
2010-06-30,18.4859
2010-07-31,17.8932
2010-08-31,18.4444
2010-09-30,20.6122
2010-10-31,23.4263
2010-11-30,26.5967
2010-12-31,29.3938
2011-01-31,28.4974
2011-02-28,30.8613
2011-03-31,35.8487
2011-04-30,42.5863
2011-05-31,36.9201
2011-06-30,35.7590
2011-07-31,38.2949
2011-08-31,40.2497
2011-09-30,37.7217
2011-10-31,32.0550
2011-11-30,33.2453
2011-12-31,30.1400
2012-01-31,30.9337
2012-02-29,34.2201
2012-03-31,32.9277
2012-04-30,31.5357
2012-05-31,28.7580
2012-06-30,28.0560
2012-07-31,27.3419
2012-08-31,28.9145
2012-09-30,33.8924
2012-10-31,33.2873
2012-11-30,32.7840
2012-12-31,31.7270
2013-01-31,31.1439
2013-02-28,30.2034
2013-03-31,28.7469
2013-04-30,25.1855
2013-05-31,23.0356
2013-06-30,21.0670
2013-07-31,19.6402
2013-08-31,22.0940
2013-09-30,22.4497
2013-10-31,22.0128
2013-11-30,20.6769
2013-12-31,19.6296
2014-01-31,19.8519
2014-02-28,20.8285
2014-03-31,20.6850
2014-04-30,19.6895
2014-05-31,19.2919
2014-06-30,19.8922
2014-07-31,20.8837
2014-08-31,19.6907
2014-09-30,18.3110
2014-10-31,17.1287
2014-11-30,15.9728
2014-12-31,16.2441
2015-01-31,17.2000
2015-02-28,16.7202
2015-03-31,16.1944
2015-04-30,16.3201
2015-05-31,16.7998
2015-06-30,16.0133
2015-07-31,15.0024
2015-08-31,14.8940
2015-09-30,14.7258
2015-10-31,15.7925
2015-11-30,14.4062
2015-12-31,14.0506
2016-01-31,14.0726
2016-02-29,15.1294
2016-03-31,15.4158
2016-04-30,16.3215
2016-05-31,16.8961
2016-06-30,17.2588
2016-07-31,19.9673
2016-08-31,19.5141
2016-09-30,19.2896
2016-10-31,17.6031
2016-11-30,17.3559
2016-12-31,16.4110
2017-01-31,16.8856
2017-02-28,17.8868
2017-03-31,17.5789
2017-04-30,17.9921
2017-05-31,16.6994
2017-06-30,16.8892
2017-07-31,16.1150
2017-08-31,16.9200
2017-09-30,17.3727
2017-10-31,16.9065
2017-11-30,16.9509
2017-12-31,16.1339
2018-01-31,17.1041
2018-02-28,16.5420
2018-03-31,16.3929
2018-04-30,16.6044
2018-05-31,16.4176
2018-06-30,16.4873
2018-07-31,15.6637
2018-08-31,14.9205
2018-09-30,14.1835
2018-10-31,14.5088
2018-11-30,14.3017
2018-12-31,14.7224
2019-01-31,15.5902
2019-02-28,15.7600
2019-03-31,15.2059
2019-04-30,14.9729
2019-05-31,14.5915
2019-06-30,14.9809
2019-07-31,15.7290
2019-08-31,17.1622
2019-09-30,18.0608
2019-10-31,17.5883
2019-11-30,17.1067
2019-12-31,17.1231
2020-01-31,17.9023
2020-02-29,17.8153
2020-03-31,14.8921
2020-04-30,15.1955
2020-05-31,16.5521
2020-06-30,17.8740
2020-07-31,20.8865
2020-08-31,27.0650
2020-09-30,25.8067
2020-10-31,24.3088
2020-11-30,24.1009
2020-12-31,25.0969
2021-01-31,25.8869
2021-02-28,27.3121
2021-03-31,25.6777
2021-04-30,25.7121
2021-05-31,27.5734
2021-06-30,27.0507
2021-07-31,25.7013
2021-08-31,23.9608
2021-09-30,23.1786
2021-10-31,23.4099
2021-11-30,24.1861
2021-12-31,22.4865
2022-01-31,23.1835
2022-02-28,23.5373
2022-03-31,25.4345
2022-04-30,24.6345
2022-05-31,21.8279
2022-06-30,21.4892
2022-07-31,18.9266
2022-08-31,19.5922
2022-09-30,18.7876
