date,vix,real10
1990-01-31,23.3473,
1990-02-28,23.2626,
1990-03-31,20.0623,
1990-04-30,21.4035,
1990-05-31,18.0977,
1990-06-30,16.8224,
1990-07-31,18.3929,
1990-08-31,28.1752,
1990-09-30,29.1074,
1990-10-31,29.6257,
1990-11-30,24.8857,
1990-12-31,23.3630,
1991-01-31,27.4291,
1991-02-28,21.5984,
1991-03-31,17.7442,
1991-04-30,17.3727,
1991-05-31,16.9323,
1991-06-30,17.1350,
1991-07-31,17.2941,
1991-08-31,15.6814,
1991-09-30,16.9565,
1991-10-31,16.3639,
1991-11-30,17.7735,
1991-12-31,18.3476,
1992-01-31,17.6832,
1992-02-29,17.4774,
1992-03-31,17.5205,
1992-04-30,16.5629,
1992-05-31,15.0770,
1992-06-30,15.2032,
1992-07-31,13.6018,
1992-08-31,14.4219,
1992-09-30,13.6967,
1992-10-31,17.6368,
1992-11-30,14.4245,
1992-12-31,12.1914,
1993-01-31,12.4090,
1993-02-28,13.7216,
1993-03-31,13.6061,
1993-04-30,12.8410,
1993-05-31,13.6060,
1993-06-30,12.5241,
1993-07-31,11.5005,
1993-08-31,11.9286,
1993-09-30,12.9314,
1993-10-31,11.8752,
1993-11-30,14.0838,
1993-12-31,11.3564,
1994-01-31,11.2905,
1994-02-28,13.6442,
1994-03-31,15.2235,
1994-04-30,16.4711,
1994-05-31,13.8971,
1994-06-30,13.4086,
1994-07-31,12.4845,
1994-08-31,11.8891,
1994-09-30,13.2333,
1994-10-31,15.2452,
1994-11-30,16.3838,
1994-12-31,14.1771,
1995-01-31,12.2743,
1995-02-28,11.4700,
1995-03-31,12.1665,
1995-04-30,12.4426,
1995-05-31,12.2659,
1995-06-30,11.8968,
1995-07-31,12.5140,
1995-08-31,12.7983,
1995-09-30,12.0570,
1995-10-31,14.3573,
1995-11-30,12.4690,
1995-12-31,11.7485,
1996-01-31,13.4736,
1996-02-29,15.0330,
1996-03-31,17.7624,
1996-04-30,16.5752,
1996-05-31,16.1464,
1996-06-30,16.3950,
1996-07-31,17.9786,
1996-08-31,15.7605,
1996-09-30,16.5780,
1996-10-31,16.3817,
1996-11-30,15.9970,
1996-12-31,19.2610,
1997-01-31,19.4733,
1997-02-28,20.1395,
1997-03-31,20.1700,
1997-04-30,19.6623,
1997-05-31,19.9248,
1997-06-30,20.1943,
1997-07-31,20.5291,
1997-08-31,23.0848,
1997-09-30,23.8124,
1997-10-31,23.8709,
1997-11-30,32.2061,
1997-12-31,26.2764,
1998-01-31,23.8665,
1998-02-28,19.9989,
1998-03-31,20.1586,
1998-04-30,22.0286,
1998-05-31,20.8740,
1998-06-30,21.6627,
1998-07-31,19.9300,
1998-08-31,31.5881,
1998-09-30,38.2048,
1998-10-31,36.6082,
1998-11-30,26.2230,
1998-12-31,25.4791,
1999-01-31,28.0353,
1999-02-28,28.8226,
1999-03-31,25.3096,
1999-04-30,23.4786,
1999-05-31,26.2045,
1999-06-30,23.6264,
1999-07-31,21.0490,
1999-08-31,24.3236,
1999-09-30,24.5414,
1999-10-31,24.0214,
1999-11-30,21.8181,
1999-12-31,22.1591,
2000-01-31,23.2020,
2000-02-29,23.5955,
2000-03-31,22.7183,
2000-04-30,27.1642,
2000-05-31,26.3732,
2000-06-30,21.5400,
2000-07-31,19.8930,
2000-08-31,18.0887,
2000-09-30,19.6875,
2000-10-31,25.2000,
2000-11-30,26.3829,
2000-12-31,26.5305,
2001-01-31,24.9186,
2001-02-28,23.4116,
2001-03-31,28.4968,
2001-04-30,28.1340,
2001-05-31,22.9441,
2001-06-30,20.9405,
2001-07-31,22.3162,
2001-08-31,21.8617,
2001-09-30,35.0653,
2001-10-31,32.7213,
2001-11-30,26.6310,
2001-12-31,23.7200,
2002-01-31,22.2529,
2002-02-28,22.8758,
2002-03-31,18.9850,
2002-04-30,19.9005,
2002-05-31,20.0877,
2002-06-30,25.2710,
2002-07-31,34.0495,
2002-08-31,33.7427,
2002-09-30,37.6475,
2002-10-31,35.2430,
2002-11-30,28.1750,
2002-12-31,28.2105,
2003-01-31,27.4243,2.2943
2003-02-28,32.2184,1.9900
2003-03-31,30.6343,1.9443
2003-04-30,23.9919,2.1838
2003-05-31,20.2395,1.9081
2003-06-30,20.3624,1.7219
2003-07-31,19.1614,2.1095
2003-08-31,19.2743,2.3205
2003-09-30,19.5324,2.1862
2003-10-31,18.0235,2.0764
2003-11-30,17.4011,1.9639
2003-12-31,16.8264,1.9836
2004-01-31,16.1010,1.8875
2004-02-29,15.9984,1.7621
2004-03-31,17.6874,1.4652
2004-04-30,15.6986,1.9029
2004-05-31,17.7050,2.0900
2004-06-30,15.3427,2.1462
2004-07-31,15.5024,2.0243
2004-08-31,16.6841,1.8595
2004-09-30,14.0810,1.7990
2004-10-31,14.9738,1.7290
2004-11-30,13.5776,1.6760
2004-12-31,12.4595,1.6686
2005-01-31,13.4380,1.7235
2005-02-28,11.7089,1.6311
2005-03-31,13.1264,1.7873
2005-04-30,14.4590,1.7057
2005-05-31,13.9676,1.6533
2005-06-30,11.8686,1.6745
2005-07-31,11.0490,1.8765
2005-08-31,12.9513,1.8891
2005-09-30,12.6281,1.6990
2005-10-31,14.9376,1.9425
2005-11-30,12.1476,2.0635
2005-12-31,11.2600,2.1233
2006-01-31,12.0360,2.0060
2006-02-28,12.4711,2.0489
2006-03-31,11.6939,2.1974
2006-04-30,11.8474,2.4089
2006-05-31,14.4545,2.4459
2006-06-30,16.9186,2.5295
2006-07-31,15.3260,2.5070
2006-08-31,13.3517,2.2909
2006-09-30,12.1845,2.3195
2006-10-31,11.3064,2.4114
2006-11-30,10.8176,2.2919
2006-12-31,10.9645,2.2505
2007-01-31,11.0425,2.4367
2007-02-28,11.1553,2.3605
2007-03-31,15.1627,2.1768
2007-04-30,12.9330,2.2557
2007-05-31,13.2977,2.3736
2007-06-30,14.9476,2.6910
2007-07-31,17.2733,2.6367
2007-08-31,25.0261,2.4383
2007-09-30,22.1989,2.2574
