date,gr,dr
2003-02-28,0.0056,-0.3043
2003-03-31,-0.0514,-0.0457
2003-04-30,-0.0389,0.2395
2003-05-31,0.0819,-0.2757
2003-06-30,0.0000,-0.1862
2003-07-31,-0.0141,0.3876
2003-08-31,0.0253,0.2110
2003-09-30,0.0514,-0.1343
2003-10-31,0.0000,-0.1098
2003-11-30,0.0286,-0.1125
2003-12-31,0.0427,0.0197
2004-01-31,0.0171,-0.0961
2004-02-29,-0.0220,-0.1254
2004-03-31,0.0049,-0.2969
2004-04-30,-0.0099,0.4377
2004-05-31,-0.0483,0.1871
2004-06-30,0.0206,0.0562
2004-07-31,0.0152,-0.1219
2004-08-31,0.0075,-0.1648
2004-09-30,0.0099,-0.0605
2004-10-31,0.0364,-0.0700
2004-11-30,0.0442,-0.0530
2004-12-31,0.0068,-0.0074
2005-01-31,-0.0416,0.0549
2005-02-28,-0.0024,-0.0924
2005-03-31,0.0257,0.1562
2005-04-30,-0.0116,-0.0816
2005-05-31,-0.0165,-0.0524
2005-06-30,0.0211,0.0212
2005-07-31,-0.0164,0.2020
2005-08-31,0.0325,0.0126
2005-09-30,0.0403,-0.1901
2005-10-31,0.0302,0.2435
2005-11-30,0.0148,0.1210
2005-12-31,0.0669,0.0598
2006-01-31,0.0755,-0.1173
2006-02-28,0.0090,0.0429
2006-03-31,0.0036,0.1485
2006-04-30,0.0925,0.2115
2006-05-31,0.0996,0.0370
2006-06-30,-0.1245,0.0836
2006-07-31,0.0618,-0.0225
2006-08-31,-0.0016,-0.2161
2006-09-30,-0.0569,0.0286
2006-10-31,-0.0203,0.0919
2006-11-30,0.0692,-0.1195
2006-12-31,0.0032,-0.0414
2007-01-31,0.0016,0.1862
2007-02-28,0.0525,-0.0762
2007-03-31,-0.0152,-0.1837
2007-04-30,0.0360,0.0789
2007-05-31,-0.0178,0.1179
2007-06-30,-0.0166,0.3174
2007-07-31,0.0136,-0.0543
2007-08-31,0.0000,-0.1984
2007-09-30,0.0697,-0.1809
2007-10-31,0.0572,-0.0551
2007-11-30,0.0654,-0.4343
2007-12-31,-0.0037,0.0210
2008-01-31,0.1029,-0.3200
2008-02-29,0.0353,-0.0640
2008-03-31,0.0487,-0.3140
2008-04-30,-0.0618,0.2713
2008-05-31,-0.0233,0.0977
2008-06-30,0.0000,0.1686
2008-07-31,0.0558,-0.0595
2008-08-31,-0.1137,0.1071
2008-09-30,-0.0108,0.1738
2008-10-31,-0.0281,0.9023
2008-11-30,-0.0587,0.1360
2008-12-31,0.0698,-0.7183
2009-01-31,0.0514,-0.2580
2009-02-28,0.0933,-0.1599
2009-03-31,-0.0204,-0.0430
2009-04-30,-0.0375,-0.1415
2009-05-31,0.0429,0.1494
2009-06-30,0.0181,0.1453
2009-07-31,-0.0128,-0.0396
2009-08-31,0.0159,-0.0489
2009-09-30,0.0489,-0.1319
2009-10-31,0.0455,-0.1586
2009-11-30,0.0775,-0.2080
2009-12-31,0.0071,0.0892
2010-01-31,-0.0151,0.0102
2010-02-28,-0.0208,0.0442
2010-03-31,0.0163,0.0894
2010-04-30,0.0318,-0.0074
2010-05-31,0.0476,-0.1939
2010-06-30,0.0230,-0.0502
2010-07-31,-0.0330,-0.0158
2010-08-31,0.0191,-0.2192
2010-09-30,0.0442,-0.1128
2010-10-31,0.0544,-0.3840
2010-11-30,0.0206,0.1410
2010-12-31,0.0152,0.3781
2011-01-31,-0.0225,0.0164
2011-02-28,0.0110,0.1774
2011-03-31,0.0343,-0.2740
2011-04-30,0.0400,-0.1004
2011-05-31,0.0214,-0.0849
2011-06-30,0.0105,-0.0231
2011-07-31,0.0284,-0.1320
2011-08-31,0.1118,-0.4883
2011-09-30,0.0074,-0.0576
2011-10-31,-0.0617,0.1084
2011-11-30,0.0429,-0.1845
2011-12-31,-0.0586,-0.0329
2012-01-31,0.0085,-0.0766
2012-02-29,0.0536,-0.1465
2012-03-31,-0.0403,0.1131
2012-04-30,-0.0162,-0.0724
2012-05-31,-0.0371,-0.1276
2012-06-30,0.0063,-0.1591
2012-07-31,-0.0031,-0.1014
2012-08-31,0.0223,0.0162
2012-09-30,0.0682,-0.1275
2012-10-31,0.0011,-0.0354
2012-11-30,-0.0144,-0.0239
2012-12-31,-0.0217,0.0150
2013-01-31,-0.0077,0.1489
2013-02-28,-0.0267,0.0381
2013-03-31,-0.0217,-0.0145
2013-04-30,-0.0682,-0.0673
2013-05-31,-0.0510,0.2973
2013-06-30,-0.0515,0.6065
2013-07-31,-0.0434,0.2085
2013-08-31,0.0500,0.0927
2013-09-30,-0.0022,0.1113
2013-10-31,-0.0240,-0.2354
2013-11-30,-0.0316,0.1193
2013-12-31,-0.0432,0.1907
2014-01-31,0.0178,-0.1067
2014-02-28,0.0440,-0.0798
2014-03-31,0.0273,0.0036
2014-04-30,-0.0289,-0.0128
2014-05-31,-0.0070,-0.1748
2014-06-30,-0.0078,0.0014
2014-07-31,0.0247,-0.0900
2014-08-31,-0.0123,-0.0557
2014-09-30,-0.0458,0.2372
2014-10-31,-0.0122,-0.0769
2014-11-30,-0.0392,0.0615
2014-12-31,0.0219,0.0649
2015-01-31,0.0408,-0.2360
2015-02-28,-0.0194,-0.0145
2015-03-31,-0.0399,0.0209
2015-04-30,0.0168,-0.2041
2015-05-31,0.0000,0.2552
2015-06-30,-0.0143,0.1657
2015-07-31,-0.0468,0.0059
2015-08-31,-0.0089,0.0521
2015-09-30,0.0062,0.0943
2015-10-31,0.0298,-0.0786
2015-11-30,-0.0651,0.1212
2015-12-31,-0.0093,0.0351
2016-01-31,0.0202,-0.0624
2016-02-29,0.0888,-0.1933
2016-03-31,0.0368,-0.1347
2016-04-30,-0.0024,-0.1468
2016-05-31,0.0152,0.0214
2016-06-30,0.0118,-0.0378
2016-07-31,0.0467,-0.1356
2016-08-31,0.0022,0.0498
2016-09-30,-0.0097,0.0274
2016-10-31,-0.0463,-0.0182
2016-11-30,-0.0232,0.2225
2016-12-31,-0.0677,0.2362
2017-01-31,0.0298,-0.1352
2017-02-28,0.0346,-0.0210
2017-03-31,-0.0024,0.0857
